Country,,Country,Medal_Two_Prior,Event,Medal_One_Prior,Medal_Hosted,Medal_One_Next,Medal_Two_Next
Australia,4060,Australia,Silver,"Swimming Men's 1,500 metres Freestyle",Silver,Silver,Silver,Gold
Australia,2357,Australia,Gold,"Swimming Men's 1,500 metres Freestyle",Silver,Gold,Gold,Bronze
Australia,5285,Australia,Bronze,Swimming Men's 400 metres Freestyle,Bronze,Gold,Silver,Bronze
Australia,3348,Australia,Silver,"Swimming Men's 1,500 metres Freestyle",Gold,Gold,Gold,Silver
Australia,1796,Australia,Gold,"Swimming Men's 1,500 metres Freestyle",Silver,Silver,Silver,Bronze
Australia,74169509,Australia,No Medal,Swimming Men's 4 x 100 metres Medley Relay,Bronze,Silver,Silver,Silver
Australia,2076,Australia,Gold,"Swimming Men's 1,500 metres Freestyle",Gold,Gold,Gold,Silver
Australia,74317221,Australia,No Medal,Swimming Men's 100 metres Freestyle,No Medal,Silver,Bronze,Silver
Australia,1573,Australia,Silver,"Swimming Men's 1,500 metres Freestyle",Gold,Silver,Gold,Gold
Australia,4344,Australia,Gold,"Swimming Men's 1,500 metres Freestyle",Silver,Gold,Gold,Silver
Australia,729,Australia,Silver,"Swimming Men's 1,500 metres Freestyle",Gold,Silver,Gold,Silver
Australia,3704,Australia,Silver,"Swimming Men's 1,500 metres Freestyle",Gold,Gold,Silver,Bronze
Australia,107,Australia,Silver,"Swimming Men's 1,500 metres Freestyle",Silver,Gold,Gold,Bronze
Australia,74169575,Australia,No Medal,Rowing Women's Lightweight Double Sculls,Bronze,No Medal,No Medal,No Medal
Australia,74169489,Australia,No Medal,Weightlifting Men's Super-Heavyweight,Bronze,No Medal,No Medal,No Medal
Australia,5401,Australia,Silver,Swimming Men's 400 metres Freestyle,Bronze,Gold,Gold,Bronze
Australia,949,Australia,Silver,"Swimming Men's 1,500 metres Freestyle",Silver,Gold,Silver,Gold
Australia,947,Australia,Silver,"Swimming Men's 1,500 metres Freestyle",Silver,Gold,Silver,Bronze
Australia,4525,Australia,Gold,"Swimming Men's 1,500 metres Freestyle",Silver,Gold,Gold,Gold
Australia,74169516,Australia,No Medal,Swimming Men's 4 x 100 metres Medley Relay,Bronze,Silver,Silver,Bronze
Australia,2843,Australia,Silver,"Swimming Men's 1,500 metres Freestyle",Gold,Gold,Gold,Bronze
Australia,6129,Australia,Bronze,Swimming Women's 100 metres Breaststroke,Bronze,Silver,Bronze,Gold
Australia,5,Australia,Silver,Swimming Women's 200 metres Breaststroke,No Medal,No Medal,Silver,Silver
Australia,3042,Australia,Silver,"Swimming Men's 1,500 metres Freestyle",Silver,Gold,Gold,Silver
Australia,4810,Australia,Gold,"Swimming Men's 1,500 metres Freestyle",Silver,Silver,Gold,Gold
Australia,4207,Australia,Silver,"Swimming Men's 1,500 metres Freestyle",Gold,Gold,Silver,Gold
Australia,3931,Australia,Silver,"Swimming Men's 1,500 metres Freestyle",Silver,Gold,Gold,Gold
Australia,2976,Australia,Silver,"Swimming Men's 1,500 metres Freestyle",Gold,Silver,Gold,Silver
Australia,2916,Australia,Silver,"Swimming Men's 1,500 metres Freestyle",Gold,Gold,Gold,Silver
Australia,1727,Australia,Silver,"Swimming Men's 1,500 metres Freestyle",Gold,Gold,Gold,Bronze
Australia,2207,Australia,Gold,"Swimming Men's 1,500 metres Freestyle",Silver,Silver,Silver,Bronze
Australia,5574,Australia,Bronze,Swimming Men's 400 metres Freestyle,Bronze,Gold,Gold,Bronze
Australia,1325,Australia,Silver,"Swimming Men's 1,500 metres Freestyle",Silver,Gold,Silver,Bronze
Australia,2259,Australia,Gold,"Swimming Men's 1,500 metres Freestyle",Silver,Gold,Gold,Silver
Australia,4977,Australia,Gold,"Swimming Men's 1,500 metres Freestyle",Silver,Gold,Gold,Silver
Australia,4511,Australia,Gold,"Swimming Men's 1,500 metres Freestyle",Silver,Gold,Silver,Bronze
Australia,4572,Australia,Gold,"Swimming Men's 1,500 metres Freestyle",Gold,Gold,Gold,Silver
Australia,74169584,Australia,No Medal,"Cycling Men's Individual Pursuit, 4,000 metres",Bronze,Bronze,Silver,No Medal
Australia,1401,Australia,Silver,"Swimming Men's 1,500 metres Freestyle",Silver,Gold,Silver,Silver
Australia,136,Australia,Silver,"Swimming Men's 1,500 metres Freestyle",Silver,Gold,Silver,Gold
Australia,4836,Australia,Gold,"Swimming Men's 1,500 metres Freestyle",Silver,Gold,Silver,Silver
Australia,1694,Australia,Silver,"Swimming Men's 1,500 metres Freestyle",Gold,Silver,Gold,Bronze
Belgium,74323489,Belgium,No Medal,Swimming Men's 200 metres Breaststroke,No Medal,No Medal,Silver,No Medal
Belgium,74319214,Belgium,No Medal,"Archery Men's Target Archery, 50 metres, Team",No Medal,Gold,No Medal,No Medal
Belgium,74323899,Belgium,No Medal,Rowing Men's Coxed Pairs,No Medal,No Medal,No Medal,Bronze
Belgium,74323491,Belgium,No Medal,"Cycling Men's Road Race, Individual",No Medal,No Medal,Silver,No Medal
Belgium,74319216,Belgium,No Medal,"Archery Men's Target Archery, 33 metres, Individual",No Medal,Gold,No Medal,No Medal
Belgium,74313108,Belgium,No Medal,"Fencing Men's epee, Individual",Gold,No Medal,Gold,No Medal
Belgium,7113,Belgium,Bronze,"Fencing Men's epee, Team",Gold,Silver,Silver,No Medal
Belgium,7109,Belgium,Gold,"Shooting Men's Free Pistol, 50 yards",No Medal,No Medal,No Medal,No Medal
Belgium,74319206,Belgium,No Medal,"Archery Men's Pole Archery, Large Birds, Individual",No Medal,Bronze,No Medal,No Medal
Belgium,74319220,Belgium,No Medal,Tug-Of-War Men's Tug-Of-War,No Medal,Bronze,No Medal,No Medal
Belgium,74319202,Belgium,No Medal,"Archery Men's Pole Archery, Small Birds, Individual",No Medal,Gold,No Medal,No Medal
Belgium,74319213,Belgium,No Medal,Art Competitions Mixed Music,No Medal,Gold,No Medal,No Medal
Belgium,74319200,Belgium,No Medal,"Archery Men's Target Archery, 28 metres, Team",No Medal,Silver,No Medal,No Medal
Belgium,74319223,Belgium,No Medal,Hockey Men's Hockey,No Medal,Bronze,No Medal,No Medal
Belgium,74323898,Belgium,No Medal,"Wrestling Men's Bantamweight, Freestyle",No Medal,No Medal,No Medal,Silver
Belgium,74319211,Belgium,No Medal,"Equestrianism Men's Vaulting, Individual",No Medal,Bronze,No Medal,No Medal
Belgium,74323488,Belgium,No Medal,"Wrestling Men's Middleweight, Freestyle",No Medal,No Medal,Silver,No Medal
Belgium,74319192,Belgium,No Medal,Weightlifting Men's Lightweight,No Medal,Bronze,No Medal,No Medal
Belgium,7108,Belgium,Silver,"Shooting Men's Free Pistol, 50 yards",No Medal,No Medal,No Medal,No Medal
Belgium,74319197,Belgium,No Medal,Art Competitions Mixed Sculpturing,No Medal,Gold,No Medal,No Medal
Belgium,74319203,Belgium,No Medal,"Archery Men's Pole Archery, Small Birds, Individual",No Medal,Bronze,No Medal,No Medal
Belgium,74319201,Belgium,No Medal,"Archery Men's Pole Archery, Small Birds, Individual",No Medal,Silver,No Medal,No Medal
Belgium,74319193,Belgium,No Medal,"Shooting Men's Trap, Team",No Medal,Silver,No Medal,No Medal
Belgium,74323495,Belgium,No Medal,"Cycling Men's Team Pursuit, 4,000 metres",No Medal,No Medal,Bronze,No Medal
Belgium,74319191,Belgium,No Medal,Weightlifting Men's Lightweight,No Medal,Silver,No Medal,No Medal
Belgium,74319207,Belgium,No Medal,Weightlifting Men's Featherweight,No Medal,Gold,No Medal,No Medal
Belgium,74319221,Belgium,No Medal,Swimming Men's 100 metres Backstroke,No Medal,Bronze,No Medal,No Medal
Belgium,74319209,Belgium,No Medal,"Equestrianism Men's Vaulting, Team",No Medal,Gold,No Medal,No Medal
Belgium,74319195,Belgium,No Medal,"Equestrianism Men's Jumping, Team",No Medal,Silver,No Medal,No Medal
Belgium,74319204,Belgium,No Medal,"Archery Men's Pole Archery, Large Birds, Individual",No Medal,Silver,No Medal,No Medal
Belgium,74313107,Belgium,No Medal,Rowing Men's Single Sculls,Silver,No Medal,No Medal,No Medal
